Phrase	Boundary	V1	V2	VL	CE	StDev	rank V1	rank V2	rank V3	rank V4
1	onset	16.438628	16.400406	16.348953	16.441569	0.043234538	2	3	4	1
2	onset	56.878066	56.966272	56.900118	56.881006	0.04111685	4	1	2	3
3	onset	91.22689	91.21513	91.316566	91.36361	0.071543199	3	4	2	1
4	onset	99.502068	99.456495	99.450615	99.455025	0.024141142	1	2	4	3
5	onset	115.68049	115.706951	115.734883	115.726063	0.024081353	4	3	1	2
6	onset	119.836455	119.867327	119.779121	119.836455	0.036811269	2	1	4	2
7	onset	183.124145	183.019768	183.065341	183.074162	0.042782575	1	4	3	2
8	onset	228.297296	228.319348	228.295826	228.317878	0.012759984	3	1	4	2
9	onset	255.846921	255.846921	255.788117	255.808698	0.029242369	1	1	4	3
10	onset	266.496306	266.483075	266.500716	266.446322	0.024687383	2	3	1	4
11	onset	279.045057	279.061228	279.058288	279.036236	0.011668708	3	1	2	4
12	onset	299.829293	299.77931	299.801361	299.841054	0.027825229	2	4	3	1
13	onset	315.124186	315.116835	315.006578	315.106544	0.055115508	1	2	4	3
1	offset	25.695831	25.647318	25.656139	25.691421	0.0245223	1	4	3	2
2	offset	65.337006	65.23851	65.350237	65.319365	0.050134203	2	4	1	3
3	offset	99.502068	99.456495	99.450615	99.455025	0.024141142	1	2	4	3
4	offset	107.487637	107.468526	107.497928	107.469996	0.014227834	2	4	1	3
5	offset	119.836455	119.867327	119.779121	119.836455	0.036811269	2	1	4	2
6	offset	123.982129	123.936556	123.949787	123.940967	0.02059434	1	4	2	3
7	offset	194.5174	193.786761	193.623581	193.799992	0.398470367	1	3	4	2
8	offset	255.846921	255.846921	255.788117	255.808698	0.029242369	1	1	4	3
9	offset	266.496306	266.483075	266.500716	266.446322	0.024687383	2	3	1	4
10	offset	279.045057	279.061228	279.058288	279.036236	0.011668708	3	1	2	4
11	offset	287.383449	287.427552	287.486356	287.498116	0.053431367	4	3	2	1
12	offset	309.520175	309.287899	309.528995	309.537816	0.120763107	3	4	2	1
13	offset	325.019411	325.039992	325.025291	325.038522	0.010069434	4	1	3	2
