pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.012959023,1,1,1,1,0,0
2,0.003379654,1,1,1,1,4.5084E-11,0
3,0.008402874,1,1,1,1,0,0
4,0.013381275,1,1,1,1,0,0
5,0.00992821,1,1,1,1,0,0
6,0.014357612,1,1,1,1,0,0
7,0.001954346,1,1,1,1,1.11167E-05,0
8,0.014423636,1,1,1,1,0,0
9,0.01115937,1,1,1,1,0,0
10,0.002840425,1,1,1,1,5.50201E-09,0
11,0.005880088,1,1,1,1,0,0
12,0.002018332,1,1,1,1,6.52276E-06,0
1,0.015579807,2,2,1,1,0,0
2,0.005801919,2,2,1,1,0,0
3,0.004477785,2,2,1,1,1.9984E-15,0
4,0.001758748,2,2,1,1,5.5514E-05,0
5,0.010703024,2,2,1,1,0,0
6,0.012349072,2,2,1,1,0,0
7,0.004184322,2,2,1,1,2.9865E-14,0
8,0.009651923,2,2,1,1,0,0
9,0.008578071,2,2,1,1,0,0
10,0.003340226,2,2,1,1,6.42645E-11,0
11,0.004547951,2,2,1,1,9.99201E-16,0
12,0.006040672,2,2,1,1,0,0
1,0.008066794,1,3,2,1,0,0
2,0.008600046,1,3,2,1,0,0
3,0.004493495,1,3,2,1,1.77636E-15,0
4,0.007549069,1,3,2,1,0,0
5,0.0161809,1,3,2,1,0,0
6,0.015507266,1,3,2,1,0,0
7,0.006528335,1,3,2,1,0,0
8,0.012409764,1,3,2,1,0,0
9,0.007949421,1,3,2,1,0,0
10,0.007646735,1,3,2,1,0,0
11,0.003821531,1,3,2,1,8.24896E-13,0
12,0.005478579,1,3,2,1,0,0
1,0.006927373,2,4,2,1,0,0
2,0.00674051,2,4,2,1,0,0
3,0.008909523,2,4,2,1,0,0
4,0.00672035,2,4,2,1,0,0
5,0.011180108,2,4,2,1,0,0
6,0.019700876,2,4,2,1,0,0
7,0.004879205,2,4,2,1,0,0
8,0.01349712,2,4,2,1,0,0
9,0.011779698,2,4,2,1,0,0
10,0.00626163,2,4,2,1,0,0
11,0.011087168,2,4,2,1,0,0
12,0.00973042,2,4,2,1,0,0
1,0.004650875,1,5,3,1,4.44089E-16,0
2,0.007483879,1,5,3,1,0,0
3,0.007499396,1,5,3,1,0,0
4,0.005142561,1,5,3,1,0,0
5,0.013847,1,5,3,1,0,0
6,0.010281482,1,5,3,1,0,0
7,0.006431284,1,5,3,1,0,0
8,0.007687163,1,5,3,1,0,0
9,0.005901201,1,5,3,1,0,0
10,0.004646418,1,5,3,1,4.44089E-16,0
11,0.015075595,1,5,3,1,0,0
12,0.004125325,1,5,3,1,5.12923E-14,0
1,0.005577496,2,6,3,1,0,0
2,0.005734493,2,6,3,1,0,0
3,0.005203091,2,6,3,1,0,0
4,0.005597524,2,6,3,1,0,0
5,0.00931399,2,6,3,1,0,0
6,0.029213821,2,6,3,1,0,0
7,0.002120364,2,6,3,1,2.76966E-06,0
8,0.013012784,2,6,3,1,0,0
9,0.009871513,2,6,3,1,0,0
10,0.002308973,2,6,3,1,5.58008E-07,0
11,0.006988315,2,6,3,1,0,0
12,0.015240673,2,6,3,1,0,0
1,0.009820799,1,7,4,1,0,0
2,0.003375913,1,7,4,1,4.66269E-11,0
3,0.007710278,1,7,4,1,0,0
4,0.002621084,1,7,4,1,3.76384E-08,0
5,0.011425052,1,7,4,1,0,0
6,0.006531659,1,7,4,1,0,0
7,0.004958498,1,7,4,1,0,0
8,0.020165914,1,7,4,1,0,0
