pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.004140756,1,1,1,1,3.55271E-15,0
2,0.004000014,1,1,1,1,1.32117E-14,0
3,0.005831422,1,1,1,1,0,0
4,0.007585302,1,1,1,1,0,0
5,0.003327065,1,1,1,1,7.11375E-12,0
6,0.012590539,1,1,1,1,0,0
7,0.001307721,1,1,1,1,0.000466955,0
8,0.010334142,1,1,1,1,0,0
9,0.004405239,1,1,1,1,3.33067E-16,0
10,0.008682357,1,1,1,1,0,0
11,0.005501862,1,1,1,1,0,0
12,0.002291345,1,1,1,1,9.23118E-08,0
1,0.001850013,2,2,1,1,4.60573E-06,0
2,0.00308336,2,2,1,1,6.78737E-11,0
3,0.005815571,2,2,1,1,0,0
4,0.003783185,2,2,1,1,1.0103E-13,0
5,0.003379825,2,2,1,1,4.35785E-12,0
6,0.002709367,2,2,1,1,2.10036E-09,0
7,0.007732315,2,2,1,1,0,0
8,0.006885857,2,2,1,1,0,0
9,0.001644149,2,2,1,1,2.74008E-05,0
10,0.002562804,2,2,1,1,7.97019E-09,0
11,0.011927646,2,2,1,1,0,0
12,0.004565925,2,2,1,1,1.11022E-16,0
1,0.003703287,1,3,2,1,2.13496E-13,0
2,0.005424793,1,3,2,1,0,0
3,0.003638651,1,3,2,1,3.90576E-13,0
4,0.007167478,1,3,2,1,0,0
5,0.006668823,1,3,2,1,0,0
6,0.003914904,1,3,2,1,2.94209E-14,0
7,0.003383309,1,3,2,1,4.21896E-12,0
8,0.013818317,1,3,2,1,0,0
9,0.008749662,1,3,2,1,0,0
10,0.002925301,1,3,2,1,2.90878E-10,0
11,0.007323476,1,3,2,1,0,0
12,0.002344146,1,3,2,1,5.74566E-08,0
1,0.013882251,2,4,2,1,0,0
2,0.003090946,2,4,2,1,6.3285E-11,0
3,0.00444642,2,4,2,1,2.22045E-16,0
4,0.003254004,2,4,2,1,1.40084E-11,0
5,0.009270036,2,4,2,1,0,0
6,0.013667594,2,4,2,1,0,0
7,0.006590901,2,4,2,1,0,0
8,0.009065459,2,4,2,1,0,0
9,0.003042537,2,4,2,1,9.89012E-11,0
10,0.006279479,2,4,2,1,0,0
11,0.015095103,2,4,2,1,0,0
12,0.01049386,2,4,2,1,0,0
1,0.002378633,1,5,3,1,4.2128E-08,0
2,0.00221217,1,5,3,1,1.87517E-07,0
3,0.008170172,1,5,3,1,0,0
4,0.006002522,1,5,3,1,0,0
5,0.003977247,1,5,3,1,1.63203E-14,0
6,0.005366782,1,5,3,1,0,0
7,0.003438043,1,5,3,1,2.53597E-12,0
8,0.009070217,1,5,3,1,0,0
9,0.004738127,1,5,3,1,0,0
10,0.001571315,1,5,3,1,5.10931E-05,0
11,0.009253135,1,5,3,1,0,0
12,0.001004265,1,5,3,1,0.005341291,0
1,0.002841732,2,6,3,1,6.26166E-10,0
2,0.000545364,2,6,3,1,0.142167316,0.11057352
3,0.001748396,2,6,3,1,1.11494E-05,0
4,0.002027637,2,6,3,1,9.66776E-07,0
5,0.002335861,2,6,3,1,6.18988E-08,0
6,0.002847564,2,6,3,1,5.9358E-10,0
