pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.008550797,1,1,1,1,0,0
2,0.009263544,1,1,1,1,0,0
3,0.013233794,1,1,1,1,0,0
4,0.00259426,1,1,1,1,1.21433E-07,0
5,0.013319594,1,1,1,1,0,0
6,0.024615283,1,1,1,1,0,0
7,0.00635603,1,1,1,1,0,0
8,0.00619473,1,1,1,1,0,0
9,0.007445687,1,1,1,1,0,0
10,0.006296563,1,1,1,1,0,0
11,0.014216363,1,1,1,1,0,0
12,0.006787279,1,1,1,1,0,0
1,0.011469254,2,2,1,1,0,0
2,0.013621958,2,2,1,1,0,0
3,0.014310625,2,2,1,1,0,0
4,0.003989243,2,2,1,1,5.65326E-13,0
5,0.005881404,2,2,1,1,0,0
6,0.008607752,2,2,1,1,0,0
7,0.004196984,2,2,1,1,8.63754E-14,0
8,0.008863472,2,2,1,1,0,0
9,0.006941879,2,2,1,1,0,0
10,0.009009756,2,2,1,1,0,0
11,0.008845718,2,2,1,1,0,0
12,0.004238131,2,2,1,1,5.9508E-14,0
1,0.007582324,1,3,2,1,0,0
2,0.012641338,1,3,2,1,0,0
3,0.012133101,1,3,2,1,0,0
4,0.011044286,1,3,2,1,0,0
5,0.004322949,1,3,2,1,2.75335E-14,0
6,0.017875068,1,3,2,1,0,0
7,0.008628301,1,3,2,1,0,0
8,0.003882023,1,3,2,1,1.48459E-12,0
9,0.008068799,1,3,2,1,0,0
10,0.007198399,1,3,2,1,0,0
11,0.006770057,1,3,2,1,0,0
12,0.003048773,1,3,2,1,2.40644E-09,0
1,0.007566026,2,4,2,1,0,0
2,0.006051502,2,4,2,1,0,0
3,0.009396214,2,4,2,1,0,0
4,0.005463232,2,4,2,1,0,0
5,0.00499959,2,4,2,1,1.11022E-16,0
6,0.014595633,2,4,2,1,0,0
7,0.010429817,2,4,2,1,0,0
8,0.007811854,2,4,2,1,0,0
9,0.006827475,2,4,2,1,0,0
10,0.018873834,2,4,2,1,0,0
11,0.010283185,2,4,2,1,0,0
12,0.00735609,2,4,2,1,0,0
1,0.014026043,1,5,3,1,0,0
2,0.007056208,1,5,3,1,0,0
3,0.011438638,1,5,3,1,0,0
4,0.002460473,1,5,3,1,3.77535E-07,0
5,0.007173689,1,5,3,1,0,0
6,0.013386603,1,5,3,1,0,0
7,0.004997897,1,5,3,1,1.11022E-16,0
8,0.002797658,1,5,3,1,2.12536E-08,0
9,0.015383018,1,5,3,1,0,0
10,0.006405853,1,5,3,1,0,0
11,0.010543935,1,5,3,1,0,0
12,0.004383017,1,5,3,1,1.59872E-14,0
1,0.012012894,2,6,3,1,0,0
2,0.005303123,2,6,3,1,0,0
3,0.01561365,2,6,3,1,0,0
4,0.008683159,2,6,3,1,0,0
5,0.003992509,2,6,3,1,5.48894E-13,0
6,0.023952897,2,6,3,1,0,0
7,0.001819028,2,6,3,1,7.30245E-05,0
8,0.003122294,2,6,3,1,1.26543E-09,0
9,0.005493393,2,6,3,1,0,0
10,0.007560974,2,6,3,1,0,0
11,0.014378375,2,6,3,1,0,0
12,0.004877878,2,6,3,1,2.22045E-16,0
1,0.009432478,1,7,4,1,0,0
2,0.002186604,1,7,4,1,3.71721E-06,0
3,0.008840374,1,7,4,1,0,0
4,0.004974212,1,7,4,1,1.11022E-16,0
5,0.006340185,1,7,4,1,0,0
6,0.013681147,1,7,4,1,0,0
7,0.004713174,1,7,4,1,7.77156E-16,0
8,0.007656413,1,7,4,1,0,0
9,0.007826614,1,7,4,1,0,0
10,0.006622181,1,7,4,1,0,0
11,0.00416966,1,7,4,1,1.10689E-13,0
12,0.002947802,1,7,4,1,5.79688E-09,0
1,0.009020173,2,8,4,1,0,0
2,0.012585556,2,8,4,1,0,0
3,0.011513353,2,8,4,1,0,0
4,0.006878797,2,8,4,1,0,0
5,0.003088206,2,8,4,1,1.7052E-09,0
6,0.02663333,2,8,4,1,0,0
7,0.005859956,2,8,4,1,0,0
8,0.003429555,2,8,4,1,8.44103E-11,0
9,0.005790096,2,8,4,1,0,0
10,0.008643132,2,8,4,1,0,0
11,0.009305872,2,8,4,1,0,0
12,0.007929509,2,8,4,1,0,0
1,0.011910294,2,1,1,2,0,0
2,0.014504393,2,1,1,2,0,0
3,0.005525789,2,1,1,2,0,0
4,0.007189582,2,1,1,2,0,0
5,0.00602799,2,1,1,2,0,0
6,0.010956101,2,1,1,2,0,0
7,0.003009834,2,1,1,2,9.80361E-10,0
8,0.004785951,2,1,1,2,1.11022E-16,0
9,0.002382997,2,1,1,2,2.17849E-07,0
10,0.005343395,2,1,1,2,0,0
11,0.011248936,2,1,1,2,0,0
12,0.003769265,2,1,1,2,1.19726E-12,0
1,0.008607683,1,2,1,2,0,0
2,0.00657671,1,2,1,2,0,0
3,0.005970433,1,2,1,2,0,0
4,0.005334832,1,2,1,2,0,0
5,0.004708076,1,2,1,2,2.22045E-16,0
6,0.00395528,1,2,1,2,2.27041E-13,0
7,0.005018882,1,2,1,2,0,0
8,0.004297514,1,2,1,2,1.04361E-14,0
9,0.005120039,1,2,1,2,0,0
10,0.01351368,1,2,1,2,0,0
11,0.008463435,1,2,1,2,0,0
12,0.010645622,1,2,1,2,0,0
1,0.006523527,2,3,2,2,0,0
2,0.007362862,2,3,2,2,0,0
3,0.005206235,2,3,2,2,0,0
4,0.005459479,2,3,2,2,0,0
5,0.004881262,2,3,2,2,0,0
6,0.004559901,2,3,2,2,9.99201E-16,0
7,0.020359387,2,3,2,2,0,0
8,0.004172658,2,3,2,2,3.23075E-14,0
9,0.003697518,2,3,2,2,2.26941E-12,0
10,0.013467258,2,3,2,2,0,0
11,0.020430201,2,3,2,2,0,0
12,0.009357611,2,3,2,2,0,0
1,0.010791774,1,4,2,2,0,0
2,0.002148336,1,4,2,2,1.57536E-06,0
3,0.004545526,1,4,2,2,1.11022E-15,0
4,0.009339747,1,4,2,2,0,0
5,0.005141868,1,4,2,2,0,0
6,0.003941013,1,4,2,2,2.58016E-13,0
7,0.008866657,1,4,2,2,0,0
8,0.003066642,1,4,2,2,5.9668E-10,0
9,0.008174584,1,4,2,2,0,0
10,0.009178158,1,4,2,2,0,0
11,0.005823005,1,4,2,2,0,0
12,0.010875396,1,4,2,2,0,0
1,0.01355013,2,5,3,2,0,0
2,0.016160214,2,5,3,2,0,0
3,0.003462779,2,5,3,2,1.82474E-11,0
4,0.010741911,2,5,3,2,0,0
5,0.005329786,2,5,3,2,0,0
6,0.004589512,2,5,3,2,7.77156E-16,0
7,0.010682351,2,5,3,2,0,0
8,0.008092924,2,5,3,2,0,0
9,0.003510026,2,5,3,2,1.20066E-11,0
10,0.006400382,2,5,3,2,0,0
11,0.006931982,2,5,3,2,0,0
12,0.012699671,2,5,3,2,0,0
1,0.006308315,1,6,3,2,0,0
2,0.008749496,1,6,3,2,0,0
3,0.011722829,1,6,3,2,0,0
4,0.006305638,1,6,3,2,0,0
5,0.007656815,1,6,3,2,0,0
6,0.004289832,1,6,3,2,1.12133E-14,0
7,0.009916405,1,6,3,2,0,0
8,0.007367741,1,6,3,2,0,0
9,0.007351052,1,6,3,2,0,0
10,0.011849264,1,6,3,2,0,0
11,0.008178043,1,6,3,2,0,0
12,0.009111397,1,6,3,2,0,0
1,0.003535071,2,7,4,2,9.61542E-12,0
2,0.006080597,2,7,4,2,0,0
3,0.009153771,2,7,4,2,0,0
4,0.005014817,2,7,4,2,0,0
5,0.005593322,2,7,4,2,0,0
6,0.003110125,2,7,4,2,4.07757E-10,0
7,0.009971552,2,7,4,2,0,0
8,0.003321529,2,7,4,2,6.35735E-11,0
9,0.004732289,2,7,4,2,2.22045E-16,0
10,0.020633951,2,7,4,2,0,0
11,0.008476795,2,7,4,2,0,0
12,0.010539825,2,7,4,2,0,0
1,0.004918017,1,8,4,2,0,0
2,0.011261443,1,8,4,2,0,0
3,0.007825697,1,8,4,2,0,0
4,0.004555264,1,8,4,2,9.99201E-16,0
5,0.005527423,1,8,4,2,0,0
6,0.00195198,1,8,4,2,8.04794E-06,0
7,0.015500679,1,8,4,2,0,0
8,0.004302283,1,8,4,2,1.0103E-14,0
9,0.003810068,1,8,4,2,8.3189E-13,0
10,0.005616847,1,8,4,2,0,0
11,0.009296319,1,8,4,2,0,0
12,0.005949513,1,8,4,2,0,0
