pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.015501911,1,1,1,1,0,0
2,0.019045872,1,1,1,1,0,0
3,0.008897196,1,1,1,1,0,0
4,0.018418278,1,1,1,1,0,0
5,0.011618546,1,1,1,1,0,0
6,0.009478708,1,1,1,1,0,0
7,0.012611457,1,1,1,1,0,0
8,0.011868349,1,1,1,1,0,0
9,0.008830541,1,1,1,1,0,0
10,0.008139555,1,1,1,1,0,0
11,0.009351754,1,1,1,1,0,0
12,0.013901193,1,1,1,1,0,0
1,0.013482047,2,2,1,1,0,0
2,0.007623307,2,2,1,1,0,0
3,0.0248167,2,2,1,1,0,0
4,0.008840127,2,2,1,1,0,0
5,0.009849442,2,2,1,1,0,0
6,0.012225184,2,2,1,1,0,0
7,0.01166533,2,2,1,1,0,0
8,0.005545367,2,2,1,1,9.99201E-16,0
9,0.010212822,2,2,1,1,0,0
10,0.012090236,2,2,1,1,0,0
11,0.012688189,2,2,1,1,0,0
12,0.012745134,2,2,1,1,0,0
1,0.009642335,1,3,2,1,0,0
2,0.024091851,1,3,2,1,0,0
3,0.01225396,1,3,2,1,0,0
4,0.014347534,1,3,2,1,0,0
5,0.013908638,1,3,2,1,0,0
6,0.009942956,1,3,2,1,0,0
7,0.008841672,1,3,2,1,0,0
8,0.011804659,1,3,2,1,0,0
9,0.013086026,1,3,2,1,0,0
10,0.011512796,1,3,2,1,0,0
11,0.006865235,1,3,2,1,0,0
12,0.014302079,1,3,2,1,0,0
1,0.035325413,2,4,2,1,0,0
2,0.013296597,2,4,2,1,0,0
3,0.015302177,2,4,2,1,0,0
4,0.020059132,2,4,2,1,0,0
5,0.007054363,2,4,2,1,0,0
6,0.007835775,2,4,2,1,0,0
7,0.016062595,2,4,2,1,0,0
8,0.004553996,2,4,2,1,4.63218E-12,0
9,0.012306156,2,4,2,1,0,0
10,0.015229121,2,4,2,1,0,0
11,0.009563957,2,4,2,1,0,0
12,0.010786967,2,4,2,1,0,0
1,0.006774819,1,5,3,1,0,0
2,0.011660024,1,5,3,1,0,0
3,0.00571989,1,5,3,1,2.22045E-16,0
4,0.007961249,1,5,3,1,0,0
5,0.007728838,1,5,3,1,0,0
6,0.00726869,1,5,3,1,0,0
