pair,gc,condition,trial,trial_collapsed,piece,pval,pval_permut
1,0.00593051,1,1,1,1,0,0
2,0.004857279,1,1,1,1,2.22045E-16,0
3,0.012656898,1,1,1,1,0,0
4,0.005535747,1,1,1,1,0,0
5,0.004305481,1,1,1,1,3.23075E-14,0
6,0.007586636,1,1,1,1,0,0
7,0.00360289,1,1,1,1,1.80778E-11,0
8,0.014516634,1,1,1,1,0,0
9,0.012479504,1,1,1,1,0,0
10,0.005896656,1,1,1,1,0,0
11,0.008800621,1,1,1,1,0,0
12,0.009874926,1,1,1,1,0,0
1,0.007041627,2,2,1,1,0,0
2,0.014413216,2,2,1,1,0,0
3,0.007586578,2,2,1,1,0,0
4,0.005518246,2,2,1,1,0,0
5,0.006194042,2,2,1,1,0,0
6,0.007483273,2,2,1,1,0,0
7,0.008096942,2,2,1,1,0,0
8,0.008407789,2,2,1,1,0,0
9,0.004829829,2,2,1,1,2.22045E-16,0
10,0.010301491,2,2,1,1,0,0
11,0.0128975,2,2,1,1,0,0
12,0.007957816,2,2,1,1,0,0
1,0.005205526,1,3,2,1,0,0
2,0.002195273,1,3,2,1,3.46037E-06,0
3,0.005479367,1,3,2,1,0,0
4,0.005135516,1,3,2,1,0,0
5,0.008752162,1,3,2,1,0,0
6,0.007161226,1,3,2,1,0,0
7,0.003582642,1,3,2,1,2.16532E-11,0
8,0.007360159,1,3,2,1,0,0
9,0.009301569,1,3,2,1,0,0
10,0.017214416,1,3,2,1,0,0
11,0.008475636,1,3,2,1,0,0
12,0.005838491,1,3,2,1,0,0
1,0.005111432,2,4,2,1,0,0
2,0.011363324,2,4,2,1,0,0
3,0.010857279,2,4,2,1,0,0
4,0.008471597,2,4,2,1,0,0
5,0.008651125,2,4,2,1,0,0
6,0.006569153,2,4,2,1,0,0
7,0.006741353,2,4,2,1,0,0
8,0.013201071,2,4,2,1,0,0
9,0.021251455,2,4,2,1,0,0
10,0.007776299,2,4,2,1,0,0
11,0.010924773,2,4,2,1,0,0
12,0.009490747,2,4,2,1,0,0
1,0.016267884,1,5,3,1,0,0
2,0.004202031,1,5,3,1,8.24896E-14,0
