pair,pair_names,wcc,condition,trial,trial_collapsed,piece
1,cello-viola,0.942604521,1,1,1,1
2,cello-v1,0.913036913,1,1,1,1
3,cello-v2,0.947878345,1,1,1,1
4,viola-v1,0.937510206,1,1,1,1
5,viola-v2,0.963315333,1,1,1,1
6,v1-v2,0.913502713,1,1,1,1
1,cello-viola,0.933228232,2,2,1,1
2,cello-v1,0.91328713,2,2,1,1
3,cello-v2,0.951992747,2,2,1,1
4,viola-v1,0.96162929,2,2,1,1
5,viola-v2,0.967579552,2,2,1,1
6,v1-v2,0.948564024,2,2,1,1
1,cello-viola,0.941239588,1,3,2,1
2,cello-v1,0.948042722,1,3,2,1
3,cello-v2,0.959292413,1,3,2,1
4,viola-v1,0.940227999,1,3,2,1
5,viola-v2,0.947661205,1,3,2,1
6,v1-v2,0.909507084,1,3,2,1
1,cello-viola,0.954307569,2,4,2,1
2,cello-v1,0.927412619,2,4,2,1
3,cello-v2,0.954653552,2,4,2,1
4,viola-v1,0.93992673,2,4,2,1
5,viola-v2,0.954409507,2,4,2,1
6,v1-v2,0.944587025,2,4,2,1
1,cello-viola,0.946983592,1,5,3,1
2,cello-v1,0.935868826,1,5,3,1
3,cello-v2,0.96075577,1,5,3,1
4,viola-v1,0.956815896,1,5,3,1
5,viola-v2,0.938123714,1,5,3,1
6,v1-v2,0.955408161,1,5,3,1
1,cello-viola,0.959823277,2,6,3,1
2,cello-v1,0.966230714,2,6,3,1
3,cello-v2,0.960717604,2,6,3,1
4,viola-v1,0.939242191,2,6,3,1
5,viola-v2,0.962123419,2,6,3,1
6,v1-v2,0.948901459,2,6,3,1
1,cello-viola,0.942214524,1,7,4,1
2,cello-v1,0.938898888,1,7,4,1
3,cello-v2,0.966612242,1,7,4,1
4,viola-v1,0.947046063,1,7,4,1
5,viola-v2,0.957931434,1,7,4,1
6,v1-v2,0.954932655,1,7,4,1
1,cello-viola,0.928943662,2,8,4,1
2,cello-v1,0.947453811,2,8,4,1
3,cello-v2,0.958848013,2,8,4,1
4,viola-v1,0.957096829,2,8,4,1
5,viola-v2,0.958183225,2,8,4,1
6,v1-v2,0.936120211,2,8,4,1
1,cello-viola,0.921059986,2,1,1,2
2,cello-v1,0.894005113,2,1,1,2
3,cello-v2,0.95575432,2,1,1,2
4,viola-v1,0.891679689,2,1,1,2
5,viola-v2,0.951645348,2,1,1,2
6,v1-v2,0.911065849,2,1,1,2
1,cello-viola,0.921602982,1,2,1,2
2,cello-v1,0.928688267,1,2,1,2
3,cello-v2,0.942958944,1,2,1,2
4,viola-v1,0.928357194,1,2,1,2
5,viola-v2,0.941595107,1,2,1,2
6,v1-v2,0.92438251,1,2,1,2
1,cello-viola,0.921632471,2,3,2,2
2,cello-v1,0.917243062,2,3,2,2
3,cello-v2,0.951022911,2,3,2,2
4,viola-v1,0.934752104,2,3,2,2
5,viola-v2,0.951180914,2,3,2,2
6,v1-v2,0.933623519,2,3,2,2
1,cello-viola,0.95344843,1,4,2,2
2,cello-v1,0.947832525,1,4,2,2
3,cello-v2,0.968177293,1,4,2,2
4,viola-v1,0.913446092,1,4,2,2
5,viola-v2,0.930784182,1,4,2,2
6,v1-v2,0.929049304,1,4,2,2
1,cello-viola,0.93307453,2,5,3,2
2,cello-v1,0.912948135,2,5,3,2
3,cello-v2,0.960965766,2,5,3,2
4,viola-v1,0.939265961,2,5,3,2
5,viola-v2,0.95163407,2,5,3,2
6,v1-v2,0.967389745,2,5,3,2
1,cello-viola,0.916005648,1,6,3,2
2,cello-v1,0.9317127,1,6,3,2
3,cello-v2,0.945499362,1,6,3,2
4,viola-v1,0.941699742,1,6,3,2
5,viola-v2,0.942327652,1,6,3,2
6,v1-v2,0.942940764,1,6,3,2
1,cello-viola,0.949095161,2,7,4,2
2,cello-v1,0.940386161,2,7,4,2
3,cello-v2,0.949483605,2,7,4,2
4,viola-v1,0.945000328,2,7,4,2
5,viola-v2,0.953347914,2,7,4,2
6,v1-v2,0.952488186,2,7,4,2
1,cello-viola,0.93518861,1,8,4,2
2,cello-v1,0.940739911,1,8,4,2
3,cello-v2,0.93254057,1,8,4,2
4,viola-v1,0.950199935,1,8,4,2
5,viola-v2,0.949985801,1,8,4,2
6,v1-v2,0.917956183,1,8,4,2
