pair,pair_names,wcc,condition,trial,trial_collapsed,piece
1,cello-viola,0.927990485,1,1,1,1
2,cello-v1,0.897724575,1,1,1,1
3,cello-v2,0.90732108,1,1,1,1
4,viola-v1,0.939145719,1,1,1,1
5,viola-v2,0.938414092,1,1,1,1
6,v1-v2,0.895491401,1,1,1,1
1,cello-viola,0.916244471,2,2,1,1
2,cello-v1,0.89401711,2,2,1,1
3,cello-v2,0.928806408,2,2,1,1
4,viola-v1,0.911963266,2,2,1,1
5,viola-v2,0.940380592,2,2,1,1
6,v1-v2,0.874239344,2,2,1,1
1,cello-viola,0.928383432,1,3,2,1
2,cello-v1,0.896859247,1,3,2,1
3,cello-v2,0.896935748,1,3,2,1
4,viola-v1,0.925612135,1,3,2,1
5,viola-v2,0.930173065,1,3,2,1
6,v1-v2,0.858879357,1,3,2,1
1,cello-viola,0.900520014,2,4,2,1
2,cello-v1,0.916476033,2,4,2,1
3,cello-v2,0.952163116,2,4,2,1
4,viola-v1,0.935465935,2,4,2,1
5,viola-v2,0.952202185,2,4,2,1
6,v1-v2,0.926929479,2,4,2,1
1,cello-viola,0.938767839,1,5,3,1
2,cello-v1,0.895309166,1,5,3,1
3,cello-v2,0.925195408,1,5,3,1
4,viola-v1,0.923536235,1,5,3,1
5,viola-v2,0.923970418,1,5,3,1
6,v1-v2,0.902555672,1,5,3,1
1,cello-viola,0.931912017,2,6,3,1
2,cello-v1,0.918752192,2,6,3,1
3,cello-v2,0.912277858,2,6,3,1
4,viola-v1,0.921557834,2,6,3,1
5,viola-v2,0.93669579,2,6,3,1
6,v1-v2,0.930742338,2,6,3,1
1,cello-viola,0.928727979,1,7,4,1
2,cello-v1,0.880499357,1,7,4,1
3,cello-v2,0.929441062,1,7,4,1
4,viola-v1,0.895057672,1,7,4,1
5,viola-v2,0.920945736,1,7,4,1
6,v1-v2,0.897860582,1,7,4,1
1,cello-viola,0.927979392,2,8,4,1
2,cello-v1,0.890743099,2,8,4,1
3,cello-v2,0.941176216,2,8,4,1
4,viola-v1,0.908117359,2,8,4,1
5,viola-v2,0.941726322,2,8,4,1
6,v1-v2,0.91466586,2,8,4,1
1,cello-viola,0.93142932,2,1,1,2
2,cello-v1,0.928269739,2,1,1,2
3,cello-v2,0.924037193,2,1,1,2
4,viola-v1,0.87900863,2,1,1,2
5,viola-v2,0.937694956,2,1,1,2
6,v1-v2,0.856173543,2,1,1,2
1,cello-viola,0.909225951,1,2,1,2
2,cello-v1,0.878850444,1,2,1,2
3,cello-v2,0.891228943,1,2,1,2
4,viola-v1,0.93786179,1,2,1,2
5,viola-v2,0.942486928,1,2,1,2
6,v1-v2,0.907491684,1,2,1,2
1,cello-viola,0.940465663,2,3,2,2
2,cello-v1,0.896017445,2,3,2,2
3,cello-v2,0.90545583,2,3,2,2
4,viola-v1,0.919873985,2,3,2,2
5,viola-v2,0.938664694,2,3,2,2
6,v1-v2,0.880020191,2,3,2,2
1,cello-viola,0.936878044,1,4,2,2
2,cello-v1,0.876153324,1,4,2,2
3,cello-v2,0.964243871,1,4,2,2
4,viola-v1,0.901720285,1,4,2,2
5,viola-v2,0.934107653,1,4,2,2
6,v1-v2,0.874360824,1,4,2,2
1,cello-viola,0.915555736,2,5,3,2
2,cello-v1,0.907746487,2,5,3,2
3,cello-v2,0.900530563,2,5,3,2
4,viola-v1,0.90378181,2,5,3,2
5,viola-v2,0.938670648,2,5,3,2
6,v1-v2,0.928527405,2,5,3,2
1,cello-viola,0.924393311,1,6,3,2
2,cello-v1,0.900457917,1,6,3,2
3,cello-v2,0.928953997,1,6,3,2
4,viola-v1,0.898360397,1,6,3,2
5,viola-v2,0.934428816,1,6,3,2
6,v1-v2,0.892615485,1,6,3,2
1,cello-viola,0.935650977,2,7,4,2
2,cello-v1,0.909244347,2,7,4,2
3,cello-v2,0.949060265,2,7,4,2
4,viola-v1,0.894343456,2,7,4,2
5,viola-v2,0.956291953,2,7,4,2
6,v1-v2,0.918237922,2,7,4,2
1,cello-viola,0.91232805,1,8,4,2
2,cello-v1,0.902833485,1,8,4,2
3,cello-v2,0.900585679,1,8,4,2
4,viola-v1,0.909416165,1,8,4,2
5,viola-v2,0.918189137,1,8,4,2
6,v1-v2,0.876567295,1,8,4,2
